Wavelength, nm	Energy, eV	Hemispherica	Direct	Hemispherica
		Hemispherical Tilt Irrad, W.m-2.nm-1	Direct + Circumsolar, W.m-2.nm-1	Hemispherical Tilt Irrad, W.m-2.eV-1
583	2,12658662092624	1,5479	1,3872	424,354075738022
584	2,12294520547945	1,5448	1,3845	424,958306823681
585	2,11931623931624	1,5324	1,3737	422,992087433457
586	2,11569965870307	1,4953	1,3409	414,163606065494
587	2,11209540034072	1,5281	1,3708	424,694215921923
588	2,10850340136054	1,4934	1,3403	416,465631230844
589	2,10492359932088	1,2894	1,1582	360,800078561058
590	2,10135593220339	1,3709	1,2316	384,909090175835
591	2,09780033840948	1,4662	1,3171	413,063237780287
592	2,09425675675676	1,4354	1,29	405,755787707695
593	2,09072512647555	1,4561	1,3086	412,998958622358
594	2,08720538720539	1,4491	1,3029	412,400909501533
595	2,0836974789916	1,4308	1,287	408,565066946282
596	2,08020134228188	1,4745	1,326	422,460067752863
597	2,07671691792295	1,4788	1,3303	425,115042103565
598	2,07324414715719	1,4607	1,3142	421,319698983707
599	2,06978297161937	1,4606	1,3145	422,701032908534
600	2,06633333333333	1,4753	1,3278	428,381997096306
601	2,06289517470882	1,4579	1,3123	424,741843765123
602	2,05946843853821	1,436	1,2928	419,754915308921
603	2,05605306799337	1,4664	1,3205	430,066331343765
604	2,05264900662252	1,4921	1,3439	439,056261977738
605	2,04925619834711	1,4895	1,3418	439,743698580416
606	2,04587458745875	1,4822	1,3353	439,036295531537
607	2,04250411861615	1,4911	1,3434	443,131395305694
608	2,03914473684211	1,4862	1,3392	443,131663816745
609	2,03579638752053	1,4749	1,3292	441,210184626553
610	2,03245901639344	1,4686	1,3237	440,76952734312
611	2,0291325695581	1,4611	1,317	439,957503710276
612	2,02581699346405	1,4831	1,337	448,045012421358
613	2,02251223491028	1,4621	1,3182	443,145551621229
614	2,01921824104235	1,4176	1,2783	431,061082110018
615	2,01593495934959	1,4697	1,3254	448,360447249556
616	2,01266233766234	1,431	1,2906	437,975105662204
617	2,00940032414911	1,4128	1,2744	433,809823519923
618	2,00614886731392	1,4664	1,3228	451,728789804807
619	2,00290791599354	1,4733	1,3292	455,324327552831
620	1,99967741935484	1,4739	1,3299	456,982706888208
621	1,99645732689211	1,4802	1,3359	460,417654621713
622	1,99324758842444	1,4269	1,2882	445,269220519439
623	1,9900481540931	1,4165	1,2793	443,446304645911
624	1,98685897435897	1,4118	1,2751	443,39493208582
625	1,98368	1,4026	1,2667	441,918555412163
626	1,98051118210863	1,4012	1,2655	442,891314082917
627	1,97735247208931	1,4417	1,3022	457,149604210357
628	1,97420382165605	1,3631	1,2328	433,606090014518
629	1,97106518282989	1,4114	1,2758	450,401441684143
630	1,96793650793651	1,3924	1,2589	445,752185836425
